Account Name,Parent Account,Account Number,Parent Account Number,Is Group,Account Type,Root Type,Account Currency
Abgeführte Gewinne auf Grund eines Gewinn- oder Teilgewinnabführungsvertrags,"15b - Auf Grund einer Gewinngemeinschaft, eines Gewinnabführungs- oder Teilgewinnabführungsvertrags abgeführte Gewinne",7394,,0,Expense Account,Expense,EUR
15b - Erträge aus Verlustübernahme,,,,1,,Income,EUR
Erträge aus Verlustübernahme,15b - Erträge aus Verlustübernahme,7190,,0,Income Account,Income,EUR
2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,,1,,Expense,EUR
"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
"Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren","Aufwendungen für Roh-, Hilfs- und Betriebsstoffe und für bezogene Waren (Gruppe)",5000,,0,Expense Account,Expense,EUR
innergem. Erwerb 7% Vorst. u. 7% Ust.,Wareneingang (Gruppe),5420,,0,Expense Account,Expense,EUR
innergem. Erwerb 19 % Vorsteuer 19 % Umsatzsteuer,Wareneingang (Gruppe),5425,,0,Expense Account,Expense,EUR
innergem. Erwerb ohne Vorst. und 7% Ust.,Wareneingang (Gruppe),5430,,0,Expense Account,Expense,EUR
innergem. Erwerb ohne Vorsteuer und 19 % Umsatzsteuer,Wareneingang (Gruppe),5435,,0,Expense Account,Expense,EUR
innergem. Erwerb von Neufahrzeugen von Lieferanten ohne Ust-ID 19 % Vorst. und 19 % Ust.,Wareneingang (Gruppe),5440,,0,Expense Account,Expense,EUR
Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),2 - Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen,,,1,,Expense,EUR
Kaufleasing,Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),6250,,0,Depreciation,Expense,EUR
Sofortabschreibung geringwertiger Wirtschaftsgüter,Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),6260,,0,Expense Account,Expense,EUR
"Abschreibungen auf aktivierte, geringwertige Wirtschaftsgüter",Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),6262,,0,Depreciation,Expense,EUR
Abschreibungen auf den Sammelposten Wirtschaftsgüter,Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),6264,,0,Depreciation,Expense,EUR
"Außerplanmäßige Abschreibungen auf aktivierte, geringwertige Wirtschaftsgüter",Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),6266,,0,Expense Account,Expense,EUR
Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),Abschreibungen auf immaterielle Vermögensgegenstände des Anlagevermögens und Sachanlagen (Gruppe),,,1,,Expense,EUR
Abschreibungen auf immaterielle Vermögensgegenstände,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6200,,0,Depreciation,Expense,EUR
Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6201,,0,Depreciation,Expense,EUR
Abschreibungen auf den Geschäfts- oder Firmenwert,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6205,,0,Depreciation,Expense,EUR
Außerplanmäßige Abschreibungen auf den Geschäfts- oder Firmenwert,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6209,,0,Expense Account,Expense,EUR
Außerplanmäßige Abschreibungen auf immaterielle Vermögensgegenstände,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6210,,0,Expense Account,Expense,EUR
Außerplanmäßige Abschreibungen auf selbst geschaffene immaterielle Vermögensgegenstände,Abschreibungen auf immaterielle Vermögensgegenstände (Gruppe),6211,,0,Expense Account,Expense,EUR
